City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,arraial do cabo,-22.9661,-42.0278,25.92,61,75,7.2,BR,1702234489
142,taro,-8.3862,115.28,23.0,95,100,0.87,ID,1702234572
143,puerto deseado,-47.7503,-65.8938,12.78,66,100,6.85,AR,1702234572
144,chinchilla,-26.75,150.6333,18.59,83,0,3.73,AU,1702234573
145,fort bragg,35.139,-79.006,23.23,80,100,5.66,US,1702234278
146,azangaro,-14.9167,-70.2167,17.25,42,96,4.2,PE,1702234573
147,toliara,-23.35,43.6667,26.05,82,5,3.64,MG,1702234459
148,alesund,62.4723,6.1549,3.08,85,75,4.12,NO,1702234318
149,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,95,100,8.0,RU,1702234482
150,benjamin constant,-4.3831,-70.0311,32.07,66,20,2.06,BR,1702234400
151,lamesa,32.7376,-101.951,10.29,24,6,8.01,US,1702234575
152,carnarvon,-24.8667,113.6333,26.23,25,0,7.91,AU,1702234466
153,san patricio,28.017,-97.5169,16.92,20,0,6.75,US,1702234491
154,badger,64.8,-147.5333,-21.22,74,20,1.54,US,1702234369
155,nabire,-3.3667,135.4833,24.62,85,100,1.37,ID,1702234577
156,avarua,-21.2078,-159.775,26.03,83,75,11.32,CK,1702234577
157,geneina,13.45,22.45,23.48,19,44,3.45,SD,1702234578
158,moroto,2.5345,34.6666,24.35,48,94,2.73,UG,1702234519
159,springbok,-29.6643,17.8865,18.09,38,0,2.9,ZA,1702234579
160,santa catalina,9.3337,122.8637,26.99,87,65,2.84,PH,1702234579
161,urdinarrain,-32.6857,-58.8932,29.26,29,0,3.71,AR,1702234579
162,karratha,-20.7377,116.8463,27.58,22,5,6.82,AU,1702234368
163,viedma,-40.8135,-62.9967,31.5,14,0,1.96,AR,1702234336
164,sao paulo de olivenca,-3.3783,-68.8725,28.71,83,71,1.25,BR,1702234580
165,abashiri,44.0213,144.2697,-2.1,55,100,7.94,JP,1702234482
166,ulmeni,47.4667,23.3,1.19,95,100,0.84,RO,1702234581
167,yellowknife,62.456,-114.3525,-10.88,99,100,6.69,CA,1702234466
168,navas de san juan,38.2351,-3.3538,11.91,74,13,0.19,ES,1702234583
